Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6,2003,1009,1275,3217,328,216,23974,30060,61606,68335,118831,268764,19474
BOS,"Boston, MA: Logan International",6,2003,374,495,685,66,138,7875,9639,20319,28189,24400,77167,4160
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6,2003,296,477,389,78,29,6998,8287,13635,26810,17556,64480,6201
CLT,"Charlotte, NC: Charlotte Douglas International",6,2003,300,472,735,54,73,7021,8670,14763,23379,23804,65865,3792
DCA,"Washington, DC: Ronald Reagan Washington National",6,2003,283,268,487,58,74,5321,6513,13775,13712,20999,52747,4141
DEN,"Denver, CO: Denver International",6,2003,516,323,664,98,34,10024,11691,26634,18969,23538,75428,5581
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6,2003,986,1390,2147,258,394,22303,27628,70918,80714,90574,263521,20632
DTW,"Detroit, MI: Detroit Metro Wayne County",6,2003,376,371,570,71,123,10227,11754,21802,18715,16482,60667,3529
EWR,"Newark, NJ: Newark Liberty International",6,2003,322,519,1948,121,102,9441,12506,20190,30905,91048,150513,7880
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",6,2003,247,256,427,34,13,3672,4662,12547,14600,14935,44303,2080
IAD,"Washington, DC: Washington Dulles International",6,2003,320,295,573,66,101,7027,8419,16754,18074,25807,65529,4712
IAH,"Houston, TX: George Bush Intercontinental/Houston",6,2003,329,730,1405,123,91,12686,15551,21782,43428,56414,134182,11981
JFK,"New York, NY: John F. Kennedy International",6,2003,376,226,394,28,24,4695,5778,22029,11593,14103,50335,1951
LAS,"Las Vegas, NV: McCarran International",6,2003,511,678,624,64,39,9821,11759,24293,31043,19561,79533,3828
LAX,"Los Angeles, CA: Los Angeles International",6,2003,830,765,842,97,101,15780,18462,40089,39655,26162,114434,5969
LGA,"New York, NY: LaGuardia",6,2003,302,338,867,94,121,7161,8908,17384,18954,41007,82859,5323
MCO,"Orlando, FL: Orlando International",6,2003,368,434,535,48,9,6211,7617,17707,26116,18073,65140,3188
MDW,"Chicago, IL: Chicago Midway International",6,2003,180,411,311,39,47,6057,7061,8535,20938,10702,42962,2456
MIA,"Miami, FL: Miami International",6,2003,247,210,585,66,28,3745,4900,12609,12700,22976,52191,3840
MSP,"Minneapolis, MN: Minneapolis-St Paul International",6,2003,428,376,759,106,101,10404,12194,27468,20994,23137,78259,6131
ORD,"Chicago, IL: Chicago O'Hare International",6,2003,801,982,2947,157,261,24997,30195,54296,55855,135851,257007,10401
PDX,"Portland, OR: Portland International",6,2003,193,248,213,22,17,4040,4746,8260,11909,5943,27645,1028
PHL,"Philadelphia, PA: Philadelphia International",6,2003,338,565,1083,64,83,6917,9069,16478,31005,45538,97173,4131
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",6,2003,491,569,664,41,57,12158,14008,26512,27458,18673,76031,2620
SAN,"San Diego, CA: San Diego International",6,2003,324,349,341,30,20,5775,6851,15034,15747,10449,43215,1762
SEA,"Seattle, WA: Seattle/Tacoma International",6,2003,448,552,454,36,63,7658,9246,22647,28119,13860,68673,2950
SFO,"San Francisco, CA: San Francisco International",6,2003,416,312,1080,59,83,8211,10183,22673,17879,45407,90487,3390
SLC,"Salt Lake City, UT: Salt Lake City International",6,2003,363,290,352,36,34,9491,10582,16227,13883,10512,42863,1685
TPA,"Tampa, FL: Tampa International",6,2003,226,327,524,42,12,4256,5401,11012,18558,19078,51364,2604
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",7,2003,1259,1791,4022,367,484,22868,30875,87261,116728,184740,418274,29189
BOS,"Boston, MA: Logan International",7,2003,450,587,609,61,226,8033,9972,28610,36619,26923,97186,5024
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7,2003,387,646,544,102,57,6855,8611,18395,42876,28654,100157,10151
CLT,"Charlotte, NC: Charlotte Douglas International",7,2003,335,542,945,74,163,6883,8965,17830,32502,37630,94531,6569
DCA,"Washington, DC: Ronald Reagan Washington National",7,2003,343,270,573,74,181,5241,6695,17776,18002,25897,67839,6053
DEN,"Denver, CO: Denver International",7,2003,562,434,646,111,71,10869,12702,29155,30028,25912,91893,6711
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7,2003,1216,1443,2081,244,274,22982,28323,78047,83156,80740,258631,16241
DTW,"Detroit, MI: Detroit Metro Wayne County",7,2003,475,448,816,145,175,10104,12192,33660,26421,30809,103913,12886
EWR,"Newark, NJ: Newark Liberty International",7,2003,410,706,1665,125,285,9797,13058,27536,45894,95872,180839,11242
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",7,2003,262,328,412,35,19,3785,4846,13333,21007,15824,52714,2378
IAD,"Washington, DC: Washington Dulles International",7,2003,395,406,671,84,217,6990,8788,22887,26373,35084,92720,8067
IAH,"Houston, TX: George Bush Intercontinental/Houston",7,2003,441,960,1506,115,90,13269,16467,27204,52723,52976,141506,8382
